34178450,IEEE multiscale and multiphysics computational techniques,IEEE,2379-8793
034224056,Journal of clinical and translational endocrinology,ClinicalKey,2214-6237
034224065,Journal of clinical and translational endocrinology case reports,ClinicalKey,2214-6245
034224072,Journal of Interprofessional Education & Practice,ClinicalKey,2405-4526
034224086,Journal of physiotherapy,ClinicalKey,1836-9553
025277113,Brazilian journal of infectious diseases,ClinicalKey,1413-8670
034232582,"Fatigue: Biomedicine, Health & Behavior",Francis,2167-1846
022850343,Journal of combinatorial designs,Wiley,1520-6610
034235050,Bioethics Update,ScienceDirect,2395-938X
034235050,Bioethics Update,ScienceDirect,http://hx8vv5bf7j.search.serialssolutions.com/?V=1.0&N=100&L=HX8VV5BF7J&S=AC_T_B&C=Bioethics+Update
034336792,Journal of Connectivity,Sage Premier,2058-7473
034336792,Journal of Connectivity,Sage Premier,http://hx8vv5bf7j.search.serialssolutions.com/?V=1.0&N=100&L=HX8VV5BF7J&S=AC_T_B&C=Journal+of+Connectivity
022568557,Progress in Tourism and Hospitality Research,Wiley,1077-3509
023289098,Scandinavian journal of metallurgy,Wiley,0371-0459
020623173,The humanistic psychologist,PsycArticles,0887-3267
020623173,The humanistic psychologist,PsycArticles,1547-3333
034502960,IEEE transactions on green communications and networking,IEEE,2473-2400
034566979,Stigma and Health,PsycArticles,2376-6964
034566979,Stigma and Health,PsycArticles,2376-6972
027501218,International journal of infrared and millimeter waves,Springer LINK,0195-9271
027501218,International journal of infrared and millimeter waves,Springer LINK,1572-9559
ocn948809883,ACS earth and space chemistry,American Chemical Society,2472-3452
ocn948809883,ACS earth and space chemistry,American Chemical Society,http://hx8vv5bf7j.search.serialssolutions.com/?V=1.0&N=100&L=HX8VV5BF7J&S=AC_T_M&C=ACS+earth+and+space+chemistry
034612563,Practice Innovations,APA PsycNET,2377-8903
020631904,Acta automatica sinica,ScienceDirect,1874-1029
020631904,Acta automatica sinica,,1874-1029
020726052,Journal of orthodontics,,1465-3125
020726052,Journal of orthodontics,,1465-3133
020726052,Journal of orthodontics,Taylor,1465-3125
020726052,Journal of orthodontics,Taylor,1465-3133
021061311,Africa Confidential,Wiley,0044-6483
021061311,Africa Confidential,Wiley,1467-6338
021061311,Africa Confidential,,1467-6338
021061311,Africa Confidential,,0044-6483
021373871,Journal of teaching in the addictions,,1533-2713
021373871,Journal of teaching in the addictions,,1533-2705
021373871,Journal of teaching in the addictions,Taylor,1533-2713
021373871,Journal of teaching in the addictions,Taylor,1533-2705
021378132,Journal of hospital marketing & public relations,Taylor,1539-0934
021378132,Journal of hospital marketing & public relations,Taylor,1539-0942
021378132,Journal of hospital marketing & public relations,,1539-0934
021378132,Journal of hospital marketing & public relations,,1539-0942
021558751,Bulletin of the National Association of Student Anthropologists,Wiley,1556-3626
021558751,Bulletin of the National Association of Student Anthropologists,Wiley,1556-3618
021558751,Bulletin of the National Association of Student Anthropologists,,1556-3626
021558751,Bulletin of the National Association of Student Anthropologists,,1556-3618
021559723,Central issues in anthropology a journal of the Central States Anthropologic,Wiley,1937-6227
021559723,Central issues in anthropology a journal of the Central States Anthropologic,Wiley,0739-7917
021559723,Central issues in anthropology a journal of the Central States Anthropologic,,1937-6227
021559723,Central issues in anthropology a journal of the Central States Anthropologic,,0739-7917
023131253,Yearbook of the National Society for the Study of Education,Wiley,1744-7984
023131253,Yearbook of the National Society for the Study of Education,Wiley,0077-5762
023131253,Yearbook of the National Society for the Study of Education,,1744-7984
023131253,Yearbook of the National Society for the Study of Education,,0077-5762
023319806,Stress trauma and crisis,Taylor,1543-4591
023319806,Stress trauma and crisis,,1543-4591
024337065,Education communication and information,Taylor,1470-6725
024337065,Education communication and information,Taylor,1463-631X
024337065,Education communication and information,,1470-6725
024337065,Education communication and information,,1463-631X
024676389,Cochlear Implants International,Wiley,1556-9152
024676389,Cochlear Implants International,Wiley,1754-7628
024676389,Cochlear Implants International,,1556-9152
024676389,Cochlear Implants International,,1754-7628